symbol,shortName,sector,price,marketCap,volume
CBLL,"CeriBell, Inc.",Healthcare,20.61,764542144,465013
CBNK,"Capital Bancorp, Inc.",Financial Services,30.72,507520928,47616
CBRL,Cracker Barrel Old Country Stor,Consumer Cyclical,30.12,672522240,1913336
CBSH,"Commerce Bancshares, Inc.",Financial Services,52.64,7756879360,1166548
CBUS,"Cibus, Inc.",Healthcare,1.95,106090688,240785
CCAP,"Crescent Capital BDC, Inc.",Financial Services,14.39,532322432,197532
CCB,Coastal Financial Corporation,Financial Services,95.78,1450127616,118601
CCBG,Capital City Bank Group,Financial Services,41.76,712794176,64436
CCC,CCC Intelligent Solutions Holdi,Technology,7.58,4936516096,8105140
CCCC,"C4 Therapeutics, Inc.",Healthcare,1.9,184137392,1640921
CCCX,Churchill Capital Corp X,Financial Services,13.5,702675008,2168809
CCD,Calamos Dynamic Convertible & I,Financial Services,22.47,629224448,82226
CCEC,Capital Clean Energy Carriers C,Industrials,21.89,1293312000,8159
CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,91.7,41841840128,1603763
CCG,Cheche Group Inc.,Communication Services,0.7895,66036236,81144
CCHH,CCH Holdings Ltd,Consumer Cyclical,0.46,8855000,2441985
CCII,Cohen Circle Acquisition Corp. ,Financial Services,10.34,358729088,58237
CCIIW,Cohen Circle Acquisition Corp. ,,0.83,5249750,13724
CCIX,Churchill Capital Corp IX,Financial Services,10.66,390822240,260013
CCIXW,Churchill Capital Corp IX Warra,,0.75,23925000,18891
CCLD,"CareCloud, Inc.",Healthcare,2.71,114895984,353267
CCNE,CNB Financial Corporation,Financial Services,27.7,816491840,128073
CCOI,"Cogent Communications Holdings,",Communication Services,24.3,1195139712,1524701
CCRN,"Cross Country Healthcare, Inc.",Healthcare,9.32,305322752,881549
CCSI,"Consensus Cloud Solutions, Inc.",Technology,21.36,405963392,181732
CCTG,CCSC Technology International H,Industrials,0.8067,3157017,1078527
CD,Chaince Digital Holdings Inc. -,Financial Services,5.74,406821344,204844
CDIO,Cardio Diagnostics Holdings Inc,Healthcare,1.51,2757338,411545
CDLX,"Cardlytics, Inc. Common Stock",Communication Services,0.9685,52353768,918934
CDNA,"CareDx, Inc.",Healthcare,20.55,1093813760,878854
CDNL,Cardinal Infrastructure Group I,Industrials,25.19,965572096,396645
CDNS,"Cadence Design Systems, Inc.",Technology,296.36,80755130368,1746086
CDRO,"Codere Online Luxembourg, S.A.",Consumer Cyclical,8.0,365126528,32772
CDT,CDT Equity Inc.,Healthcare,1.09,2008532,278724
CDTG,CDT Environmental Technology In,Industrials,0.385,4745125,67416
CDW,CDW Corporation,Technology,126.39,16564767744,1699865
CDXS,"Codexis, Inc.",Healthcare,1.24,112002240,1169262
CDZI,"Cadiz, Inc.",Utilities,5.64,473534848,919932
CECO,CECO Environmental Corp.,Industrials,67.43,2403274752,302372
CEG,Constellation Energy Corporatio,Utilities,280.68,101687574528,2977606
CELC,Celcuity Inc.,Healthcare,109.42,5063001088,848196
CELH,"Celsius Holdings, Inc.",Consumer Defensive,52.48,13528571904,6159788
CELU,Celularity Inc.,Healthcare,1.22,35182104,63736
CELZ,Creative Medical Technology Hol,Healthcare,2.02,7059229,119560
CENN,Cenntro Inc.,Consumer Cyclical,0.1487,13072638,3442352
